<!--ARCANE ARCHER-->

new entry "Projectile_ArcaneFinesseWrongWarp"
type "SpellData"
data "SpellType" "Teleportation"
data "Level" "0"
data "SpellSchool" "Conjuration"
data "TargetRadius" "18"
data "AreaRadius" "18"
data "LineOfSightFlags" "AddSourceHeight"
data "Height" "0"
data "Acceleration" "0"
data "TargetConditions" "not Character()"
data "OriginTargetConditions" "not Character() and not Dead()"
data "TeleportSelf" "No"
data "TeleportSurface" "No"
data "Icon" "PassiveFeature_FavoredEnemy_SanctifiedStalker"
data "DisplayName" "h2e8de670g9f71g4d53ga652ga2816de00x14;2"
data "Description" "hf12dfcdfg3774g4f31g849cg8c09c2100x1d;3"
data "CastSound" "Spell_Cast_Utility_MistyStep_L1to3"
data "TargetSound" "Spell_Impact_Utility_MistyStep_L1to3"
data "VocalComponentSound" "Vocal_Component_Teleport"
data "PreviewCursor" "Bow"
data "CastTextEvent" "Cast"
data "UseCosts" "BonusActionPoint:1"
data "SpellAnimation" "73afb4e5-8cfe-4479-95cf-16889597fee3,,;7e67bfd0-2fc2-4d10-bed5-cfda9e660de5,,;eb054308-7fce-4b85-bf4c-7a0031fda7ac,,;0b0dc35b-4953-45c0-a9eb-8d3fef5e798a,,;6ec808e1-e128-44ef-9361-a713bf86de8f,,;b2e9c771-3497-444c-b360-23b4441985a1,,;f920a0a6-f257-4ce4-8d17-2dcaa7bb7bbb,,;,,;,,"
data "VerbalIntent" "Utility"
data "HitAnimationType" "None"
data "WeaponTypes" "Ammunition"
data "SpellFlags" "IsSpell;HasHighGroundRangeExtension;RangeIgnoreVerticalThreshold;CannotTargetCharacter;CannotTargetItems"
data "PrepareEffect" "7121a488-7c9a-4ba1-a585-f79aaa77e97c"
data "CastEffect" "4f8e353e-c04e-45c3-880b-d10885fd091f"
data "DisappearEffect" "71859b27-bdda-44c3-8c65-7f142a1a2f60"
data "SpellSoundMagnitude" "Big"
data "Sheathing" "Ranged"
