new entry "Throw_PotentBrew"
type "SpellData"
data "SpellType" "Throw"
using "Throw_Throw"
data "AreaRadius" "3"
data "ExplodeRadius" "3"
data "SpellProperties" "ApplyStatus(DRUNK,100,3);AI_ONLY:ApplyStatus(SELF,AI_HELPER_BUFF,100,0);IF(not Player(context.Source)):ApplyStatus(SELF,CLASS_BLOCKER,100,3)"
data "SpellRoll" ""
data "SpellSuccess" ""
data "SpellFail" ""
data "TargetConditions" "not Item() and not HasStatus('SG_Drunk')"
data "ThrowableTargetConditions" "Tagged('ALCOHOL')"
data "Icon" "Action_Monk_IntoxicatingStrike"
data "DisplayName" "h3beda6c5g0a7bg4b59g8451g6as5d4f00002;1"
data "Description" "h3beda6c5g0a7bg4b59g8451g6as5d4f0000b;1"
data "ExtraDescription" ""
data "TooltipStatusApply" "ApplyStatus(DRUNK,100,3)"
data "PrepareSound" "Spell_Prepare_Monk_DrunkenMaster_General"
data "PrepareLoopSound" "Generic_GeneralAction_Loop"
data "CastSound" "Spell_Cast_Monk_SoberingRealisation"
data "TargetSound" "Spell_Impact_Monk_SoberingRealisation"
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "UseCosts" ""
data "VerbalIntent" "Utility"
data "SpellFlags" "InventorySelection;RangeIgnoreVerticalThreshold;IsHarmful;HasHighGroundRangeExtension;IgnoreSilence;IgnoreVisionBlock;AddFallDamageOnLand;AbortOnSecondarySpellRollFail;TrajectoryRules;CombatLogSetSingleLineRoll"
data "PrepareEffect" "8c3b1901-ac34-4b28-a834-f15e7ca5bd65"
data "CastEffect" "f36e0ef8-c95d-40db-b71d-a782627dd8cd"
data "TargetEffect" "a4f72538-edd5-4ca7-b6b7-8edc15d2eb15"
data "SpellStyleGroup" "Class"
data "SpellActionType" ""
data "HitAnimationType" "MagicalDamage_External"
data "SpellAnimationType" "Throwing"
data "Sheathing" "Sheathed"
data "RequirementConditions" "not HasStatus('CLASS_BLOCKER')"
